Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[2]     91.8    3.12    1.82     749         sph_coord_to_sqrmap(double, double*, double*, double*, double*, int, int*, int*, int*, double*, double*, double*, bool, double, double*, double*) [2]
                0.82    0.00 17786215/17786215     slaDs2tp(double, double, double, double, double*, double*, int*) [5]
                0.41    0.41 16398576/16398576     slaDtp2s(double, double, double, double, double*, double*) [6]
                0.10    0.00    1498/1498        double* std::min_element<double*>(double*, double*) [9]
                0.08    0.00    1498/1498        double* std::max_element<double*>(double*, double*) [10]
-----------------------------------------------
                0.24    2.62       1/1           main [1]
[3]     53.1    0.24    2.62       1         compute_seen_pixels_coordinates(int, long, std::string, std::vector<std::string, std::allocator<std::string> >, std::string, std::string, std::string, std::string, foffset*, float*, long, long, long*, long*, std::string, std::string, std::string, std::string, std::string, std::string, int, double, int*&, int*&, unsigned char*&, int&, double*&, double*, double*, bool, double, double*, double*, char, double*&, double*&, double*&, double*&, unsigned char*&, int, double&, double&, double&, double&, unsigned char*&, long, double, bool, bool, int, long, unsigned char*&, long*&, long*&, int, long*, long, int&) [3]
                1.56    0.91     374/749         sph_coord_to_sqrmap(double, double*, double*, double*, double*, int, int*, int*, int*, double*, double*, double*, bool, double, double*, double*) [2]
                0.15    0.00     374/374         flag_conditions(unsigned char*, double*, unsigned char*, long, long, int*, int*, int, double, bool, unsigned char*) [8]
